Predicted Reforming Activity,Surface
0.025880354464926522,Pt(111)
0.09179158747830785,Sc-Pt-Pt(111)
0.04907611812530039,Pt-Sc-Pt(111)
0.0880413595377077,Ti-Pt-Pt(111)
0.031045614840770883,Pt-Ti-Pt(111)
0.09033708780942909,V-Pt-Pt(111)
0.039885800943964184,Pt-V-Pt(111)
0.09833105987862673,Cr-Pt-Pt(111)
0.027215155347367473,Pt-Cr-Pt(111)
0.10380746678679328,Mn-Pt-Pt(111)
0.0617556975327636,Pt-Mn-Pt(111)
0.09424626227102008,Fe-Pt-Pt(111)
0.04333717258914991,Pt-Fe-Pt(111)
0.08854146386010223,Co-Pt-Pt(111)
0.04013238718058098,Pt-Co-Pt(111)
0.0733462207520501,Ni-Pt-Pt(111)
0.013183015544374857,Pt-Ni-Pt(111)
0.07172790068955981,Cu-Pt-Pt(111)
0.03411928534339688,Pt-Cu-Pt(111)
0.13233166847286418,Zn-Pt-Pt(111)
0.013570273379614445,Pt-Zn-Pt(111)
